id,category,status,answer_relevancy,faithfulness,contextual_precision,contextual_recall,contextual_relevancy,hallucination,correctness_g_eval,hit_at_k,mrr,precision_at_k,recall_at_k,ndcg_at_k,metadata_match_ratio,backend_fts,backend_vector,backend_hybrid,chunk_hit_at_k,chunk_mrr,chunk_precision_at_k,chunk_recall_at_k,chunk_ndcg_at_k,required_keyword_hit_rate,disallowed_keyword_hits,avg_judge_score,latency_seconds,retrieval_latency_seconds,llm_latency_seconds,error_count
Population and capital,Factual,PASS,1.0,1.0,1.0,1.0,0.8333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,83.3,9.17,0.67,8.5,0
Written language forms,Factual,PASS,1.0,1.0,0.5,1.0,0.6,0.0,0.9,1.0,0.5,0.5,0.5,0.651,1.0,0,0,0,1.0,0.5,0.5,1.0,0.651,1.0,0,71.4,2.67,0.14,2.53,0
Friluftsliv and allemannsretten,Concept,PASS,1.0,1.0,0.8333,0.3333,0.75,0.3333,0.9,1.0,1.0,0.8,1.0,0.956,1.0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,73.6,3.53,0.17,3.36,0
Midnight sun and polar night,Concept,PASS,1.0,1.0,1.0,0.5,0.8,0.0,0.8,1.0,1.0,0.8,0.5,0.983,1.0,0,0,0,1.0,1.0,1.0,1.0,1.0,0.5,0,72.9,7.9,0.14,7.76,0
Population distribution,Factual,PASS,0.8333,1.0,1.0,0.6667,0.8571,0.3333,0.7,1.0,1.0,0.8,1.0,1.0,1.0,0,0,0,1.0,1.0,0.4,1.0,0.877,0.667,0,77.0,3.07,0.32,2.75,0
Population profile,Filtered,REVIEW,1.0,1.0,1.0,1.0,1.0,0.0,0.7,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0,1.0,1.0,0.5,1.0,1.0,0.5,0,81.4,7.68,0.14,7.54,0
Roald Amundsen,Factual,REVIEW,0.25,1.0,1.0,1.0,0.5,0.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.0,1.0,0.4,1.0,1.0,1.0,0,65.0,3.3,0.28,3.02,0
Constitution 1814,Historical,PASS,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.0,1.0,0.4,1.0,1.0,1.0,0,85.7,7.53,0.14,7.39,0
Lærdal tunnel,Factual,PASS,1.0,1.0,1.0,1.0,0.2857,0.0,0.9,1.0,1.0,0.25,1.0,1.0,1.0,0,0,0,1.0,1.0,0.25,1.0,1.0,0.5,0,74.1,3.84,0.26,3.58,0
Preikestolen vs. Trolltunga,Factual,PASS,0.5,1.0,1.0,1.0,0.1429,0.0,0.9,1.0,1.0,0.5,1.0,0.92,1.0,0,0,0,1.0,1.0,0.25,1.0,1.0,1.0,0,64.9,8.28,0.2,8.08,0
