id,category,status,answer_relevancy,faithfulness,contextual_precision,contextual_recall,contextual_relevancy,hallucination,correctness_g_eval,source_hit_rate,metadata_match_ratio,mrr,precision_at_k,recall_at_k,ndcg_at_k,backend_fts,backend_vector,backend_hybrid,required_keyword_hit_rate,disallowed_keyword_hits,avg_judge_score,latency_seconds,retrieval_latency_seconds,llm_latency_seconds,error_count
Population and capital,Factual,PASS,1.0,1.0,1.0,1.0,0.6667,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.0,0,81.0,9.909,0.563,9.346,0
Written language forms,Factual,PASS,1.0,1.0,0.5,0.5,0.6,0.0,0.7,0.5,1.0,0.5,0.5,0.5,0.651,0,0,0,1.0,0,61.4,2.617,0.776,1.841,0
Friluftsliv and allemannsretten,Concept,PASS,1.0,1.0,1.0,0.3333,0.875,0.3333,0.7,1.0,1.0,1.0,0.8,1.0,0.956,0,0,0,1.0,0,74.9,3.92,0.145,3.775,0
Midnight sun and polar night,Concept,PASS,1.0,1.0,1.0,0.5,1.0,0.0,0.8,0.5,1.0,1.0,0.8,0.5,0.983,0,0,0,0.5,0,75.7,8.967,0.143,8.824,0
Population distribution,Factual,PASS,0.8333,1.0,1.0,0.6667,0.8333,0.3333,0.6,1.0,1.0,1.0,0.8,1.0,1.0,0,0,0,0.667,0,75.2,4.248,0.154,4.094,0
Population profile,Filtered,REVIEW,1.0,1.0,1.0,1.0,1.0,0.0,0.7,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0,1.0,0,81.4,7.5,0.19,7.31,0
Roald Amundsen,Factual,PASS,1.0,1.0,1.0,1.0,0.5714,0.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.0,0,78.2,8.399,0.2,8.199,0
Constitution 1814,Historical,PASS,1.0,1.0,1.0,1.0,0.75,0.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.0,0,79.3,2.818,0.133,2.685,0
Lærdal tunnel,Factual,PASS,1.0,1.0,1.0,1.0,0.25,0.0,0.8,1.0,1.0,1.0,0.25,1.0,1.0,0,0,0,0.5,0,72.1,3.168,0.156,3.012,0
Preikestolen vs. Trolltunga,Factual,PASS,1.0,1.0,1.0,1.0,0.1667,0.0,0.9,1.0,1.0,1.0,0.5,1.0,0.92,0,0,0,1.0,0,72.4,5.003,0.181,4.822,0
Cheese slicer invention,Factual,PASS,1.0,1.0,1.0,1.0,0.6667,0.0,0.9,1.0,1.0,1.0,0.75,1.0,1.0,0,0,0,1.0,0,79.5,11.411,0.403,11.008,0
EV and renewable energy,Multi,PASS,1.0,1.0,1.0,0.5,0.5,0.0,0.8,1.0,1.0,1.0,0.4,1.0,0.92,0,0,0,1.0,0,68.6,11.546,0.186,11.36,0
Oil fund vs. sustainability,Synthesis,PASS,1.0,1.0,1.0,0.0,0.6,0.6667,0.5,1.0,1.0,1.0,0.667,1.0,0.905,0,0,0,0.5,0,68.1,3.392,0.152,3.24,0
Immigration demographics,Factual,REVIEW,0.6667,1.0,0.6333,0.6667,0.4444,0.5,0.5,1.0,1.0,1.0,0.8,1.0,0.983,0,0,0,0.0,0,63.0,10.756,0.162,10.594,0
Troll culture and geography,Concept,PASS,1.0,1.0,1.0,0.6667,0.5,0.3333,0.8,1.0,1.0,1.0,0.8,1.0,0.956,0,0,0,0.5,0,75.7,3.612,0.146,3.466,0
Adversarial out of scope,Adversarial,PASS,0.5,1.0,0.0,0.5,0.0,0.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.0,0,41.4,2.351,0.175,2.176,0
