id,category,status,answer_relevancy,faithfulness,contextual_precision,contextual_recall,contextual_relevancy,hallucination,correctness_g_eval,hit_at_k,mrr,precision_at_k,recall_at_k,ndcg_at_k,metadata_match_ratio,backend_fts,backend_vector,backend_hybrid,backend_other,chunk_hit_at_k,chunk_mrr,chunk_precision_at_k,chunk_recall_at_k,chunk_ndcg_at_k,required_keyword_hit_rate,disallowed_keyword_hits,avg_judge_score,agent_input_tokens,agent_output_tokens,agent_total_tokens,judge_input_tokens,judge_output_tokens,judge_total_tokens,latency_seconds,retrieval_latency_seconds,llm_latency_seconds,error_count
Population and capital,Factual,PASS,1.0,1.0,1.0,1.0,0.6667,0.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0,4,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.781,2810,102,2912,9576,1389,10965,2.87,1.52,1.35,0
Written language forms,Factual,PASS,1.0,1.0,0.5,1.0,0.25,0.5,0.7,1.0,0.5,0.5,0.5,0.651,1.0,0,4,0,0,1.0,0.5,0.5,1.0,0.651,1.0,0,0.707,2803,65,2868,9432,15510,24942,2.34,0.28,2.06,0
Friluftsliv and allemannsretten,Concept,PASS,1.0,1.0,1.0,1.0,0.5,0.3333,0.7,1.0,1.0,0.8,1.0,0.956,1.0,0,5,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.79,2867,172,3039,10703,2230,12933,3.45,0.39,3.06,0
Midnight sun and polar night,Concept,PASS,1.0,1.0,1.0,1.0,,0.0,0.6,1.0,1.0,0.8,0.5,0.983,1.0,0,5,0,0,1.0,1.0,1.0,1.0,1.0,0.5,0,0.767,2812,257,3069,9393,1955,11348,5.51,0.2,5.31,0
Population distribution,Factual,PASS,1.0,1.0,1.0,1.0,1.0,0.0,0.6,1.0,1.0,0.8,1.0,1.0,1.0,0,5,0,0,1.0,1.0,0.4,1.0,0.877,0.667,0,0.8,2783,137,2920,9923,1605,11528,4.44,0.3,4.14,0
Population profile,Filtered,PASS,0.875,1.0,1.0,1.0,1.0,0.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,0,4,0,0,1.0,1.0,0.5,1.0,1.0,0.5,0,0.782,2862,152,3014,10260,1960,12220,4.38,0.87,3.51,0
Roald Amundsen,Factual,PASS,1.0,1.0,1.0,1.0,0.5,0.0,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0,5,0,0,1.0,1.0,0.4,1.0,1.0,1.0,0,0.743,2934,128,3062,10262,1857,12119,3.8,0.33,3.47,0
Constitution 1814,Historical,PASS,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,5,0,0,1.0,1.0,0.4,1.0,1.0,1.0,0,0.786,2784,90,2874,9332,1226,10558,3.05,0.17,2.88,0
Lærdal tunnel,Factual,PASS,1.0,0.6667,1.0,1.0,0.3333,0.0,0.7,1.0,1.0,0.25,1.0,1.0,1.0,0,4,0,0,1.0,1.0,0.25,1.0,1.0,0.5,0,0.671,2859,91,2950,9924,1793,11717,3.16,0.17,2.99,0
Preikestolen vs. Trolltunga,Factual,PASS,1.0,1.0,1.0,1.0,0.1429,0.0,0.8,1.0,1.0,0.5,1.0,0.92,1.0,0,4,0,0,1.0,1.0,0.25,1.0,1.0,1.0,0,0.706,2880,78,2958,9863,1727,11590,3.93,0.17,3.76,0
Cheese slicer invention,Factual,PASS,1.0,1.0,1.0,1.0,0.6667,0.0,0.8,1.0,1.0,0.75,1.0,1.0,1.0,0,4,0,0,1.0,1.0,0.5,1.0,1.0,1.0,0,0.781,2791,83,2874,9308,2807,12115,2.37,0.34,2.03,0
EV and renewable energy,Multi,PASS,1.0,1.0,1.0,0.5,0.1111,0.0,0.8,1.0,1.0,0.4,1.0,0.92,1.0,0,5,0,0,1.0,1.0,0.6,1.0,0.906,1.0,0,0.63,2834,145,2979,10143,2134,12277,4.28,0.24,4.04,0
Oil fund vs. sustainability,Synthesis,PASS,1.0,1.0,1.0,1.0,0.3333,0.0,0.5,1.0,1.0,0.667,1.0,0.905,1.0,0,6,0,0,1.0,1.0,0.5,1.0,0.947,0.5,0,0.69,2888,189,3077,10512,2008,12520,5.07,0.16,4.91,0
Immigration demographics,Factual,REVIEW,0.6667,1.0,0.6333,1.0,0.1429,0.5,0.6,1.0,1.0,0.8,1.0,0.983,1.0,0,5,0,0,1.0,1.0,0.2,0.333,1.0,0.0,0,0.649,6122,135,6257,13139,2381,15520,5.29,0.91,4.38,0
Troll culture and geography,Concept,PASS,1.0,0.8571,1.0,0.6667,0.3333,0.3333,0.7,1.0,1.0,0.8,1.0,0.956,1.0,0,5,0,0,1.0,1.0,0.4,0.667,0.877,0.5,0,0.699,2906,156,3062,10824,2463,13287,3.44,0.18,3.26,0
Adversarial out of scope,Adversarial,REVIEW,0.0,1.0,0.0,1.0,0.0,0.0,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0,3,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.386,2861,84,2945,9802,1569,11371,2.35,0.15,2.2,0
